Prev_Sector,Sector,Moved_Cells,Timestep
0.0,0,1532,10
0.0,2,1,10
0.0,3,4,10
1.0,1,1625,10
1.0,2,3,10
1.0,3,3,10
2.0,2,973,10
3.0,3,859,10
0.0,0,1529,20
0.0,3,3,20
1.0,1,1620,20
1.0,2,2,20
1.0,3,3,20
2.0,2,977,20
3.0,3,866,20
0.0,0,1526,30
0.0,2,1,30
0.0,3,2,30
1.0,1,1613,30
1.0,2,2,30
1.0,3,5,30
2.0,2,979,30
3.0,3,872,30
0.0,0,1519,40
0.0,2,4,40
0.0,3,3,40
1.0,1,1608,40
1.0,2,3,40
1.0,3,2,40
2.0,0,1,40
2.0,1,3,40
2.0,2,978,40
3.0,0,3,40
3.0,3,876,40
0.0,0,1514,50
0.0,1,1,50
0.0,2,6,50
0.0,3,2,50
1.0,0,1,50
1.0,1,1602,50
1.0,2,2,50
1.0,3,6,50
2.0,0,3,50
2.0,1,1,50
2.0,2,981,50
3.0,0,1,50
3.0,3,880,50
0.0,0,1514,60
0.0,2,2,60
0.0,3,3,60
1.0,1,1597,60
1.0,2,3,60
1.0,3,4,60
2.0,0,3,60
2.0,1,5,60
2.0,2,981,60
3.0,0,2,60
3.0,1,4,60
3.0,3,882,60
0.0,0,1514,70
0.0,2,1,70
0.0,3,5,70
1.0,1,1601,70
1.0,2,1,70
1.0,3,4,70
2.0,0,2,70
2.0,1,1,70
2.0,2,986,70
3.0,0,5,70
3.0,1,2,70
3.0,3,882,70
0.0,0,1518,80
0.0,2,3,80
0.0,3,3,80
1.0,0,1,80
1.0,1,1595,80
1.0,2,5,80
1.0,3,6,80
2.0,0,4,80
2.0,1,2,80
2.0,2,980,80
3.0,1,3,80
3.0,3,888,80
0.0,0,1518,90
0.0,2,2,90
0.0,3,1,90
1.0,0,1,90
1.0,1,1589,90
1.0,2,3,90
1.0,3,5,90
2.0,0,3,90
2.0,1,3,90
2.0,2,982,90
3.0,0,1,90
3.0,1,3,90
3.0,3,893,90
0.0,0,1519,100
0.0,3,3,100
1.0,1,1594,100
1.0,2,1,100
1.0,3,1,100
2.0,0,2,100
2.0,2,984,100
3.0,1,2,100
3.0,3,899,100
0.0,0,1519,110
0.0,2,2,110
1.0,1,1590,110
1.0,2,1,110
1.0,3,5,110
2.0,1,3,110
2.0,2,983,110
3.0,1,5,110
3.0,3,896,110
0.0,0,1512,120
0.0,2,3,120
0.0,3,6,120
1.0,1,1591,120
1.0,2,2,120
1.0,3,5,120
2.0,0,1,120
2.0,1,1,120
2.0,2,984,120
3.0,1,3,120
3.0,3,898,120
0.0,0,1513,130
0.0,2,2,130
0.0,3,3,130
1.0,1,1593,130
1.0,2,3,130
1.0,3,3,130
2.0,0,1,130
2.0,1,2,130
2.0,2,986,130
3.0,0,4,130
3.0,1,3,130
3.0,3,904,130
0.0,0,1506,140
0.0,2,4,140
0.0,3,1,140
1.0,1,1587,140
1.0,2,2,140
1.0,3,4,140
2.0,0,3,140
2.0,1,2,140
2.0,2,987,140
3.0,3,909,140
0.0,0,1505,150
0.0,2,4,150
0.0,3,1,150
1.0,1,1587,150
1.0,2,1,150
1.0,3,1,150
2.0,0,2,150
2.0,1,3,150
2.0,2,987,150
3.0,0,4,150
3.0,1,1,150
3.0,3,909,150
0.0,0,1504,160
0.0,2,3,160
0.0,3,3,160
1.0,1,1584,160
1.0,2,4,160
1.0,3,4,160
2.0,0,1,160
2.0,1,1,160
2.0,2,990,160
3.0,0,2,160
3.0,3,910,160
0.0,0,1503,170
0.0,2,1,170
0.0,3,3,170
1.0,1,1581,170
1.0,2,1,170
1.0,3,3,170
2.0,0,4,170
2.0,1,4,170
2.0,2,988,170
3.0,0,1,170
3.0,1,1,170
3.0,3,914,170
0.0,0,1499,180
0.0,2,4,180
0.0,3,4,180
1.0,1,1575,180
1.0,2,7,180
1.0,3,2,180
2.0,0,5,180
2.0,2,987,180
3.0,0,2,180
3.0,1,1,180
3.0,3,916,180
0.0,0,1501,190
0.0,2,2,190
0.0,3,4,190
1.0,1,1571,190
1.0,2,4,190
1.0,3,1,190
2.0,1,2,190
2.0,2,995,190
3.0,0,1,190
3.0,1,2,190
3.0,3,921,190
0.0,0,1495,200
0.0,2,1,200
0.0,3,6,200
1.0,1,1574,200
1.0,2,2,200
2.0,0,2,200
2.0,2,998,200
3.0,0,1,200
3.0,3,925,200
0.0,0,1494,210
0.0,2,2,210
0.0,3,1,210
1.0,1,1575,210
2.0,1,4,210
2.0,2,998,210
3.0,0,2,210
3.0,1,1,210
3.0,3,926,210
0.0,0,1495,220
0.0,2,1,220
0.0,3,2,220
1.0,1,1570,220
1.0,2,4,220
1.0,3,5,220
2.0,1,6,220
2.0,2,996,220
3.0,0,4,220
3.0,1,3,220
3.0,3,920,220
0.0,0,1498,230
0.0,3,1,230
1.0,1,1570,230
1.0,2,3,230
1.0,3,5,230
2.0,0,1,230
2.0,2,999,230
3.0,0,2,230
3.0,1,1,230
3.0,3,925,230
0.0,0,1495,240
0.0,2,1,240
0.0,3,3,240
1.0,0,2,240
1.0,1,1561,240
1.0,2,3,240
1.0,3,5,240
2.0,2,1000,240
3.0,0,4,240
3.0,1,2,240
3.0,3,925,240
0.0,0,1501,250
0.0,2,2,250
0.0,3,1,250
1.0,1,1562,250
1.0,2,2,250
1.0,3,2,250
2.0,0,2,250
2.0,1,2,250
2.0,2,1000,250
3.0,0,2,250
3.0,1,2,250
3.0,3,928,250
0.0,0,1500,260
0.0,3,3,260
1.0,1,1560,260
1.0,2,3,260
1.0,3,1,260
2.0,0,2,260
2.0,1,2,260
2.0,2,1000,260
3.0,0,1,260
3.0,3,930,260
0.0,0,1501,270
0.0,3,2,270
1.0,1,1558,270
1.0,2,2,270
1.0,3,1,270
2.0,1,5,270
2.0,2,999,270
3.0,0,3,270
3.0,1,1,270
3.0,3,931,270
0.0,0,1503,280
1.0,1,1572,280
1.0,2,2,280
1.0,3,2,280
2.0,1,2,280
2.0,2,1000,280
3.0,1,1,280
3.0,3,934,280
0.0,0,1501,290
0.0,2,2,290
0.0,3,1,290
1.0,1,1570,290
1.0,2,2,290
2.0,0,5,290
2.0,2,996,290
3.0,0,1,290
3.0,1,2,290
3.0,3,931,290
0.0,0,1500,300
0.0,2,4,300
0.0,3,4,300
1.0,0,1,300
1.0,1,1567,300
1.0,2,1,300
1.0,3,3,300
2.0,0,2,300
2.0,1,4,300
2.0,2,994,300
3.0,0,1,300
3.0,1,1,300
3.0,3,931,300
0.0,0,1502,310
0.0,3,1,310
1.0,0,1,310
1.0,1,1562,310
1.0,2,3,310
1.0,3,3,310
2.0,0,1,310
2.0,1,1,310
2.0,2,999,310
3.0,3,937,310
0.0,0,1501,320
0.0,2,2,320
0.0,3,2,320
1.0,1,1555,320
1.0,2,3,320
1.0,3,2,320
2.0,1,3,320
2.0,2,996,320
3.0,0,3,320
3.0,1,1,320
3.0,3,938,320
0.0,0,1499,330
0.0,2,1,330
0.0,3,3,330
1.0,1,1556,330
1.0,2,2,330
1.0,3,1,330
2.0,1,2,330
2.0,2,1000,330
3.0,0,1,330
3.0,1,3,330
3.0,3,937,330
0.0,0,1492,340
0.0,2,5,340
0.0,3,3,340
1.0,1,1556,340
1.0,2,2,340
1.0,3,2,340
2.0,0,2,340
2.0,1,2,340
2.0,2,998,340
3.0,1,1,340
3.0,3,940,340
0.0,0,1489,350
0.0,2,2,350
0.0,3,4,350
1.0,1,1562,350
2.0,0,1,350
2.0,1,6,350
2.0,2,998,350
3.0,0,1,350
3.0,3,944,350
0.0,0,1489,360
1.0,1,1563,360
1.0,2,2,360
1.0,3,1,360
2.0,0,1,360
2.0,1,3,360
2.0,2,999,360
3.0,0,1,360
3.0,3,947,360
0.0,0,1489,370
0.0,1,1,370
0.0,3,2,370
1.0,1,1565,370
1.0,2,3,370
1.0,3,1,370
2.0,0,2,370
2.0,2,996,370
3.0,0,5,370
3.0,1,4,370
3.0,3,939,370
0.0,0,1502,380
0.0,3,2,380
1.0,1,1563,380
1.0,3,2,380
2.0,0,1,380
2.0,2,1002,380
3.0,3,944,380
0.0,0,1493,390
0.0,2,3,390
0.0,3,1,390
1.0,1,1566,390
1.0,2,1,390
1.0,3,1,390
2.0,0,2,390
2.0,2,997,390
3.0,0,1,390
3.0,3,947,390
0.0,0,1497,400
0.0,3,1,400
1.0,1,1558,400
1.0,2,1,400
1.0,3,5,400
2.0,1,2,400
2.0,2,999,400
3.0,0,1,400
3.0,1,2,400
3.0,3,944,400
0.0,0,1492,410
0.0,2,1,410
0.0,3,3,410
1.0,0,1,410
1.0,1,1555,410
1.0,2,2,410
1.0,3,1,410
2.0,0,3,410
2.0,1,1,410
2.0,2,996,410
3.0,0,2,410
3.0,1,1,410
3.0,3,948,410
0.0,0,1490,420
0.0,2,2,420
0.0,3,3,420
1.0,1,1559,420
1.0,3,1,420
2.0,2,1000,420
3.0,1,2,420
3.0,3,950,420
0.0,0,1488,430
0.0,2,2,430
0.0,3,2,430
1.0,1,1559,430
1.0,2,2,430
1.0,3,1,430
2.0,0,1,430
2.0,1,1,430
2.0,2,1001,430
3.0,0,2,430
3.0,1,1,430
3.0,3,951,430
0.0,0,1485,440
0.0,2,4,440
0.0,3,1,440
1.0,1,1555,440
1.0,2,3,440
1.0,3,1,440
2.0,0,1,440
2.0,1,2,440
2.0,2,1003,440
3.0,1,5,440
3.0,3,949,440
0.0,0,1486,450
0.0,3,1,450
1.0,1,1557,450
1.0,2,1,450
1.0,3,1,450
2.0,0,1,450
2.0,1,1,450
2.0,2,1006,450
3.0,0,2,450
3.0,1,1,450
3.0,3,949,450
0.0,0,1488,460
0.0,2,1,460
0.0,3,2,460
1.0,1,1556,460
1.0,2,2,460
1.0,3,2,460
2.0,0,1,460
2.0,1,2,460
2.0,2,1003,460
3.0,0,1,460
3.0,1,1,460
3.0,3,950,460
0.0,0,1485,470
0.0,2,3,470
0.0,3,2,470
1.0,1,1553,470
1.0,2,5,470
1.0,3,1,470
2.0,0,5,470
2.0,2,1001,470
3.0,3,952,470
0.0,0,1482,480
0.0,3,4,480
1.0,1,1550,480
1.0,2,1,480
1.0,3,1,480
2.0,0,2,480
2.0,2,1006,480
3.0,1,4,480
3.0,3,956,480
0.0,0,1484,490
0.0,2,4,490
1.0,1,1557,490
1.0,3,1,490
2.0,0,1,490
2.0,1,3,490
2.0,2,1007,490
3.0,0,3,490
3.0,3,953,490
0.0,0,1478,500
0.0,2,4,500
0.0,3,2,500
1.0,1,1555,500
1.0,3,1,500
2.0,0,2,500
2.0,1,3,500
2.0,2,1004,500
3.0,0,3,500
3.0,1,1,500
3.0,3,950,500
0.0,0,1482,510
0.0,2,2,510
0.0,3,1,510
1.0,1,1560,510
2.0,0,1,510
2.0,1,1,510
2.0,2,1005,510
3.0,0,3,510
3.0,1,1,510
3.0,3,950,510
0.0,0,1482,520
0.0,3,2,520
1.0,1,1558,520
1.0,2,2,520
1.0,3,1,520
2.0,0,2,520
2.0,1,1,520
2.0,2,1003,520
3.0,1,1,520
3.0,3,949,520
0.0,0,1480,530
0.0,2,2,530
0.0,3,2,530
1.0,1,1558,530
1.0,2,1,530
1.0,3,1,530
2.0,0,1,530
2.0,2,1006,530
3.0,0,1,530
3.0,1,1,530
3.0,3,952,530
0.0,0,1482,540
0.0,2,2,540
0.0,3,2,540
1.0,1,1559,540
1.0,3,1,540
2.0,0,3,540
2.0,2,1006,540
3.0,0,1,540
3.0,3,954,540
0.0,0,1482,550
0.0,2,2,550
1.0,1,1562,550
1.0,2,1,550
2.0,0,3,550
2.0,1,1,550
2.0,2,1002,550
3.0,1,1,550
3.0,3,953,550
0.0,0,1478,560
0.0,2,1,560
0.0,3,4,560
1.0,0,1,560
1.0,1,1554,560
1.0,3,4,560
2.0,0,2,560
2.0,1,1,560
2.0,2,1002,560
3.0,0,3,560
3.0,3,950,560
0.0,0,1486,570
0.0,2,2,570
1.0,1,1555,570
1.0,3,1,570
2.0,0,3,570
2.0,2,1001,570
3.0,3,959,570
0.0,0,1481,580
0.0,2,3,580
0.0,3,1,580
1.0,1,1554,580
1.0,2,1,580
2.0,1,1,580
2.0,2,1001,580
3.0,1,1,580
3.0,3,958,580
0.0,0,1474,590
0.0,2,2,590
0.0,3,5,590
1.0,0,1,590
1.0,1,1552,590
1.0,2,2,590
2.0,0,1,590
2.0,1,1,590
2.0,2,1004,590
3.0,0,1,590
3.0,1,2,590
3.0,3,956,590
0.0,0,1478,600
0.0,3,2,600
1.0,1,1551,600
1.0,2,2,600
1.0,3,2,600
2.0,0,2,600
2.0,1,1,600
2.0,2,1005,600
3.0,0,2,600
3.0,3,961,600
0.0,0,1476,610
0.0,2,3,610
1.0,1,1548,610
1.0,2,3,610
1.0,3,1,610
2.0,1,1,610
2.0,2,1006,610
3.0,0,1,610
3.0,3,963,610
0.0,0,1476,620
0.0,1,1,620
0.0,2,1,620
1.0,1,1550,620
2.0,0,2,620
2.0,2,1009,620
3.0,1,3,620
3.0,3,960,620
0.0,0,1477,630
0.0,2,2,630
0.0,3,2,630
1.0,1,1550,630
1.0,3,3,630
2.0,1,1,630
2.0,2,1009,630
3.0,0,3,630
3.0,1,1,630
3.0,3,957,630
0.0,0,1475,640
0.0,2,1,640
1.0,1,1547,640
1.0,2,2,640
1.0,3,3,640
2.0,0,2,640
2.0,2,1009,640
3.0,1,1,640
3.0,3,960,640
0.0,0,1478,650
1.0,1,1542,650
1.0,2,3,650
1.0,3,3,650
2.0,0,1,650
2.0,1,2,650
2.0,2,1011,650
3.0,0,1,650
3.0,3,962,650
0.0,0,1473,660
0.0,2,3,660
0.0,3,3,660
1.0,1,1541,660
1.0,2,2,660
1.0,3,1,660
2.0,0,2,660
2.0,1,3,660
2.0,2,1008,660
3.0,0,3,660
3.0,1,2,660
3.0,3,961,660
0.0,0,1477,670
0.0,2,1,670
1.0,1,1545,670
1.0,3,1,670
2.0,1,1,670
2.0,2,1011,670
3.0,0,2,670
3.0,3,962,670
0.0,0,1478,680
0.0,2,1,680
0.0,3,1,680
1.0,1,1544,680
1.0,2,2,680
1.0,3,1,680
2.0,0,1,680
2.0,1,1,680
2.0,2,1010,680
3.0,0,2,680
3.0,1,1,680
3.0,3,961,680
0.0,0,1479,690
0.0,2,1,690
1.0,1,1545,690
2.0,0,2,690
2.0,1,1,690
2.0,2,1010,690
3.0,0,1,690
3.0,1,3,690
3.0,3,959,690
0.0,0,1478,700
0.0,2,1,700
0.0,3,4,700
1.0,1,1545,700
1.0,2,1,700
1.0,3,3,700
2.0,2,1011,700
3.0,0,2,700
3.0,1,2,700
3.0,3,954,700
0.0,0,1477,710
0.0,2,1,710
0.0,3,2,710
1.0,1,1544,710
1.0,3,3,710
2.0,1,1,710
2.0,2,1013,710
3.0,0,3,710
3.0,3,958,710
0.0,0,1476,720
0.0,2,1,720
0.0,3,3,720
1.0,1,1545,720
1.0,3,1,720
2.0,0,1,720
2.0,1,1,720
2.0,2,1011,720
3.0,0,1,720
3.0,1,1,720
3.0,3,962,720
0.0,0,1474,730
0.0,2,1,730
0.0,3,2,730
1.0,1,1543,730
1.0,2,2,730
1.0,3,1,730
2.0,0,1,730
2.0,2,1011,730
3.0,0,1,730
3.0,1,1,730
3.0,3,963,730
0.0,0,1476,740
0.0,3,1,740
1.0,1,1538,740
1.0,2,2,740
1.0,3,4,740
2.0,2,1014,740
3.0,3,967,740
0.0,0,1471,750
0.0,2,2,750
0.0,3,2,750
1.0,1,1537,750
1.0,2,1,750
2.0,0,1,750
2.0,1,2,750
2.0,2,1013,750
3.0,0,1,750
3.0,1,3,750
3.0,3,967,750
0.0,0,1472,760
0.0,3,1,760
1.0,1,1542,760
1.0,2,1,760
2.0,0,1,760
2.0,1,2,760
2.0,2,1014,760
3.0,1,1,760
3.0,3,968,760
0.0,0,1472,770
0.0,3,2,770
1.0,1,1544,770
1.0,2,1,770
2.0,0,1,770
2.0,1,1,770
2.0,2,1012,770
3.0,0,2,770
3.0,3,967,770
0.0,0,1472,780
0.0,2,1,780
0.0,3,1,780
1.0,1,1542,780
1.0,3,2,780
2.0,2,1013,780
3.0,3,969,780
0.0,0,1470,790
0.0,2,1,790
0.0,3,1,790
1.0,1,1536,790
1.0,2,3,790
1.0,3,3,790
2.0,0,1,790
2.0,1,1,790
2.0,2,1012,790
3.0,0,2,790
3.0,3,970,790
0.0,0,1468,800
0.0,2,3,800
0.0,3,2,800
1.0,1,1536,800
1.0,2,1,800
1.0,3,1,800
2.0,0,2,800
2.0,2,1015,800
3.0,0,2,800
3.0,1,1,800
3.0,3,971,800
0.0,0,1470,810
0.0,2,1,810
0.0,3,1,810
1.0,1,1536,810
2.0,0,2,810
2.0,1,1,810
2.0,2,1015,810
3.0,0,1,810
3.0,1,2,810
3.0,3,972,810
0.0,0,1473,820
0.0,2,1,820
1.0,1,1538,820
1.0,2,1,820
2.0,0,1,820
2.0,1,1,820
2.0,2,1014,820
3.0,0,2,820
3.0,3,970,820
0.0,0,1473,830
0.0,2,1,830
0.0,3,1,830
1.0,1,1540,830
1.0,3,1,830
2.0,0,1,830
2.0,1,1,830
2.0,2,1014,830
3.0,3,970,830
0.0,0,1473,840
0.0,3,1,840
1.0,1,1538,840
1.0,2,1,840
2.0,0,3,840
2.0,2,1012,840
3.0,1,1,840
3.0,3,972,840
0.0,0,1472,850
0.0,2,1,850
0.0,3,3,850
1.0,1,1540,850
2.0,0,1,850
2.0,1,2,850
2.0,2,1010,850
3.0,3,972,850
0.0,0,1472,860
0.0,3,2,860
1.0,1,1541,860
2.0,0,2,860
2.0,2,1011,860
3.0,1,3,860
3.0,3,973,860
0.0,0,1472,870
0.0,3,1,870
1.0,1,1543,870
1.0,2,1,870
2.0,2,1010,870
3.0,0,1,870
3.0,1,2,870
3.0,3,971,870
0.0,0,1472,880
0.0,3,1,880
1.0,1,1545,880
2.0,2,1010,880
3.0,3,972,880
0.0,0,1474,890
1.0,1,1542,890
1.0,2,2,890
1.0,3,1,890
2.0,0,1,890
2.0,1,1,890
2.0,2,1008,890
3.0,0,1,890
3.0,3,972,890
0.0,0,1471,900
0.0,2,2,900
0.0,3,1,900
1.0,1,1542,900
1.0,3,1,900
2.0,0,4,900
2.0,1,1,900
2.0,2,1005,900
3.0,0,1,900
3.0,1,1,900
3.0,3,971,900
0.0,0,1475,910
0.0,2,2,910
1.0,1,1540,910
1.0,2,3,910
1.0,3,1,910
2.0,0,1,910
2.0,2,1007,910
3.0,1,1,910
3.0,3,972,910
0.0,0,1475,920
1.0,0,1,920
1.0,1,1539,920
1.0,3,1,920
2.0,1,2,920
2.0,2,1009,920
3.0,0,1,920
3.0,1,1,920
3.0,3,971,920
0.0,0,1474,930
0.0,2,3,930
1.0,1,1542,930
2.0,2,1009,930
3.0,0,1,930
3.0,3,971,930
0.0,0,1474,940
0.0,2,1,940
1.0,1,1542,940
2.0,0,1,940
2.0,2,1011,940
3.0,3,972,940
0.0,0,1472,950
0.0,2,2,950
0.0,3,1,950
1.0,1,1540,950
1.0,3,2,950
2.0,1,3,950
2.0,2,1010,950
3.0,0,1,950
3.0,1,1,950
3.0,3,969,950
0.0,0,1472,960
0.0,2,1,960
1.0,1,1542,960
1.0,2,1,960
1.0,3,1,960
2.0,2,1012,960
3.0,0,2,960
3.0,1,1,960
3.0,3,970,960
0.0,0,1473,970
0.0,2,1,970
1.0,1,1541,970
1.0,2,1,970
1.0,3,1,970
2.0,0,1,970
2.0,1,1,970
2.0,2,1011,970
3.0,0,1,970
3.0,1,2,970
3.0,3,969,970
0.0,0,1474,980
0.0,3,1,980
1.0,1,1540,980
1.0,2,3,980
1.0,3,1,980
2.0,0,1,980
2.0,2,1013,980
3.0,1,2,980
3.0,3,967,980
0.0,0,1474,990
0.0,2,1,990
1.0,1,1536,990
1.0,2,3,990
1.0,3,4,990
2.0,1,1,990
2.0,2,1014,990
3.0,3,968,990
0.0,0,1473,1000
0.0,2,1,1000
1.0,1,1533,1000
1.0,2,3,1000
2.0,1,3,1000
2.0,2,1015,1000
3.0,0,1,1000
3.0,1,2,1000
3.0,3,969,1000
0.0,0,1471,1010
0.0,2,1,1010
0.0,3,2,1010
1.0,1,1538,1010
2.0,2,1020,1010
3.0,0,1,1010
3.0,3,968,1010
0.0,0,1470,1020
0.0,2,2,1020
1.0,1,1535,1020
1.0,2,2,1020
1.0,3,1,1020
2.0,1,1,1020
2.0,2,1019,1020
3.0,0,2,1020
3.0,1,1,1020
3.0,3,967,1020
0.0,0,1473,1030
1.0,1,1537,1030
2.0,1,1,1030
2.0,2,1022,1030
3.0,3,968,1030
0.0,0,1470,1040
0.0,3,3,1040
1.0,1,1533,1040
1.0,2,2,1040
1.0,3,3,1040
2.0,0,1,1040
2.0,1,1,1040
2.0,2,1020,1040
3.0,1,1,1040
3.0,3,967,1040
0.0,0,1468,1050
0.0,2,1,1050
0.0,3,2,1050
1.0,1,1535,1050
1.0,2,1,1050
2.0,0,2,1050
2.0,1,2,1050
2.0,2,1018,1050
3.0,3,973,1050
0.0,0,1469,1060
1.0,1,1535,1060
1.0,3,1,1060
2.0,1,1,1060
2.0,2,1019,1060
3.0,0,1,1060
3.0,3,974,1060
0.0,0,1469,1070
0.0,3,1,1070
1.0,1,1534,1070
1.0,2,1,1070
1.0,3,1,1070
2.0,0,1,1070
2.0,1,1,1070
2.0,2,1018,1070
3.0,3,975,1070
0.0,0,1466,1080
0.0,2,2,1080
0.0,3,2,1080
1.0,1,1534,1080
1.0,2,1,1080
2.0,2,1018,1080
3.0,0,2,1080
3.0,1,1,1080
3.0,3,974,1080
0.0,0,1465,1090
0.0,2,1,1090
0.0,3,2,1090
1.0,0,1,1090
1.0,1,1534,1090
2.0,2,1021,1090
3.0,1,1,1090
3.0,3,975,1090
0.0,0,1463,1100
0.0,1,1,1100
0.0,2,1,1100
0.0,3,1,1100
1.0,1,1531,1100
1.0,2,3,1100
1.0,3,1,1100
2.0,0,1,1100
2.0,1,1,1100
2.0,2,1020,1100
3.0,3,978,1100
0.0,0,1463,1110
0.0,3,1,1110
1.0,1,1531,1110
1.0,2,2,1110
2.0,0,3,1110
2.0,1,1,1110
2.0,2,1020,1110
3.0,0,3,1110
3.0,1,3,1110
3.0,3,973,1110
0.0,0,1465,1120
0.0,2,4,1120
1.0,1,1534,1120
1.0,2,1,1120
2.0,0,2,1120
2.0,1,1,1120
2.0,2,1019,1120
3.0,0,2,1120
3.0,1,2,1120
3.0,3,970,1120
0.0,0,1466,1130
0.0,2,1,1130
0.0,3,2,1130
1.0,1,1535,1130
1.0,2,1,1130
1.0,3,1,1130
2.0,0,1,1130
2.0,1,2,1130
2.0,2,1021,1130
3.0,3,970,1130
0.0,0,1466,1140
0.0,2,1,1140
1.0,1,1534,1140
1.0,2,3,1140
2.0,0,2,1140
2.0,2,1022,1140
3.0,0,1,1140
3.0,3,972,1140
0.0,0,1469,1150
1.0,1,1532,1150
1.0,2,1,1150
1.0,3,1,1150
2.0,0,1,1150
2.0,1,1,1150
2.0,2,1023,1150
3.0,1,1,1150
3.0,3,971,1150
0.0,0,1469,1160
0.0,3,2,1160
1.0,0,1,1160
1.0,1,1529,1160
1.0,2,3,1160
1.0,3,1,1160
2.0,1,2,1160
2.0,2,1022,1160
3.0,0,1,1160
3.0,3,971,1160
0.0,0,1468,1170
0.0,2,1,1170
0.0,3,1,1170
1.0,1,1530,1170
1.0,2,1,1170
2.0,0,2,1170
2.0,1,4,1170
2.0,2,1019,1170
3.0,0,1,1170
3.0,1,1,1170
3.0,3,973,1170
0.0,0,1471,1180
1.0,1,1535,1180
2.0,0,1,1180
2.0,1,2,1180
2.0,2,1018,1180
3.0,3,974,1180
0.0,0,1469,1190
0.0,3,3,1190
1.0,1,1536,1190
1.0,2,1,1190
2.0,1,1,1190
2.0,2,1017,1190
3.0,3,973,1190
0.0,0,1468,1200
0.0,2,2,1200
1.0,1,1534,1200
1.0,2,2,1200
1.0,3,1,1200
2.0,0,2,1200
2.0,1,1,1200
2.0,2,1015,1200
3.0,0,1,1200
3.0,3,976,1200
0.0,0,1470,1210
1.0,1,1528,1210
1.0,2,7,1210
2.0,0,1,1210
2.0,1,1,1210
2.0,2,1018,1210
3.0,3,977,1210
0.0,0,1469,1220
0.0,2,1,1220
0.0,3,1,1220
1.0,1,1528,1220
1.0,2,1,1220
2.0,1,3,1220
2.0,2,1021,1220
3.0,0,3,1220
3.0,3,973,1220
0.0,0,1469,1230
0.0,3,3,1230
1.0,1,1530,1230
1.0,2,1,1230
2.0,1,3,1230
2.0,2,1020,1230
3.0,0,1,1230
3.0,1,1,1230
3.0,3,972,1230
0.0,0,1467,1240
0.0,2,2,1240
0.0,3,1,1240
1.0,1,1532,1240
1.0,2,2,1240
2.0,0,1,1240
2.0,1,3,1240
2.0,2,1017,1240
3.0,3,976,1240
0.0,0,1466,1250
0.0,2,1,1250
0.0,3,1,1250
1.0,1,1534,1250
1.0,2,1,1250
2.0,2,1021,1250
3.0,0,2,1250
3.0,3,975,1250
0.0,0,1467,1260
0.0,3,2,1260
1.0,1,1532,1260
1.0,2,1,1260
1.0,3,1,1260
2.0,0,1,1260
2.0,2,1022,1260
3.0,0,3,1260
3.0,3,972,1260
0.0,0,1468,1270
0.0,3,2,1270
1.0,1,1529,1270
1.0,2,2,1270
1.0,3,1,1270
2.0,0,1,1270
2.0,2,1022,1270
3.0,3,975,1270
0.0,0,1468,1280
0.0,3,1,1280
1.0,1,1525,1280
1.0,2,3,1280
1.0,3,1,1280
2.0,0,1,1280
2.0,2,1023,1280
3.0,0,2,1280
3.0,3,976,1280
0.0,0,1472,1290
0.0,1,1,1290
0.0,3,1,1290
1.0,1,1524,1290
1.0,2,1,1290
2.0,0,1,1290
2.0,1,3,1290
2.0,2,1022,1290
3.0,0,1,1290
3.0,3,977,1290
0.0,0,1469,1300
0.0,3,2,1300
1.0,1,1528,1300
2.0,0,1,1300
2.0,1,2,1300
2.0,2,1020,1300
3.0,3,979,1300
0.0,0,1463,1310
0.0,1,1,1310
0.0,2,4,1310
0.0,3,2,1310
1.0,1,1528,1310
1.0,2,2,1310
2.0,0,1,1310
2.0,1,1,1310
2.0,2,1018,1310
3.0,1,1,1310
3.0,3,979,1310
0.0,0,1463,1320
0.0,2,1,1320
1.0,1,1531,1320
2.0,1,1,1320
2.0,2,1023,1320
3.0,3,981,1320
0.0,0,1462,1330
0.0,2,1,1330
1.0,1,1531,1330
1.0,3,1,1330
2.0,0,2,1330
2.0,2,1022,1330
3.0,0,2,1330
3.0,3,979,1330
0.0,0,1465,1340
0.0,2,2,1340
1.0,1,1530,1340
1.0,2,1,1340
2.0,0,1,1340
2.0,1,2,1340
2.0,2,1020,1340
3.0,1,1,1340
3.0,3,979,1340
0.0,0,1466,1350
1.0,1,1529,1350
1.0,2,2,1350
1.0,3,2,1350
2.0,1,3,1350
2.0,2,1020,1350
3.0,1,1,1350
3.0,3,979,1350
0.0,0,1462,1360
0.0,2,3,1360
1.0,1,1529,1360
1.0,2,2,1360
1.0,3,2,1360
2.0,0,4,1360
2.0,2,1018,1360
3.0,1,1,1360
3.0,3,979,1360
0.0,0,1465,1370
0.0,2,1,1370
1.0,1,1527,1370
1.0,2,2,1370
1.0,3,1,1370
2.0,0,1,1370
2.0,2,1022,1370
3.0,3,981,1370
0.0,0,1466,1380
1.0,1,1528,1380
2.0,1,1,1380
2.0,2,1024,1380
3.0,3,982,1380
0.0,0,1464,1390
0.0,2,1,1390
0.0,3,1,1390
1.0,1,1527,1390
1.0,2,1,1390
1.0,3,1,1390
2.0,0,1,1390
2.0,1,1,1390
2.0,2,1022,1390
3.0,3,982,1390
0.0,0,1464,1400
0.0,2,1,1400
1.0,1,1525,1400
1.0,2,1,1400
1.0,3,1,1400
2.0,0,2,1400
2.0,1,1,1400
