ID,Type,Timestep,TotalDistance,InitialPosition X,InitialPosition Y,InitialPosition Z,FinalPosition X,FinalPosition Y,FinalPosition Z,HasCrash,Still alive,X,Y,Z,R,D=(R^2)/(6*t)
952,Macromoleculeahl,16915,1567.0,1917.6134375692727,697.4659671596258,311.2403632176728,1912.050751618241,1128.809276857139,1.3397268163308294,True,False,-5.5626859510316535,431.34330969751306,-309.900636401342,531.155719857888,2.779844307200229
3606,Macromoleculeahl,16915,2896.0,1818.704861408648,506.5473693151085,1071.1001249610486,1783.4616068745213,1.321814241958011,955.5616524152312,True,False,-35.24325453412666,-505.2255550731505,-115.5384725458174,519.4651933742538,2.658824387893889
3640,Macromoleculeahl,16915,2883.6934133199834,2071.874399498976,755.2243065771104,1231.8698042270755,1821.7420424176023,739.0548312926649,1602.333701397608,True,False,-250.13235708137336,-16.169475284445525,370.4638971705324,447.2931332994469,1.9713385269173
653,Macromoleculeahl,16915,693.0,2034.6602882142483,727.068251659309,1229.2588309774455,2111.449749199789,832.6552159693254,1221.4018273880736,False,False,76.78946098554115,105.58696431001636,-7.85700358937197,130.7935810965432,0.1685580929752489
2141,Macromoleculeahl,16915,384.0,1988.8207786179855,769.2127636798414,1224.966154825145,1918.6657454189856,779.8453646587895,1602.3535143290053,True,False,-70.15503319900017,10.632600978948176,377.3873595038604,384.0000000000342,1.4529116169083287
3660,Macromoleculeahl,16915,562.0,2100.978186530542,717.1013584771647,1229.4321305596372,2210.218972627272,897.3190449574171,1186.7061056863083,False,False,109.2407860967287,180.2176864802524,-42.7260248733287,215.0290144813069,0.4555865313705988
487,Macromoleculeahl,16915,1269.0,2326.234043495597,350.7044370569361,774.9825726650379,2473.0378099378954,520.0335513804989,856.7448672671776,False,False,146.80376644229864,169.3291143235628,81.76229460213972,238.55558601268228,0.5607327580831043
1665,Macromoleculeahl,16915,223.0,2299.528926901536,1104.125677440273,520.3769527743334,2344.309033393677,1069.5584775948305,524.2194871657478,False,False,44.780106492141385,-34.5671998454427,3.842534391414347,56.70021440128334,0.0316771535437136
1422,Macromoleculeahl,16915,303.0,2169.099199010744,294.65892372740507,682.5380661292827,2228.319635919547,1.1996846451710257,635.8089012576311,True,False,59.22043690880309,-293.45923908223403,-46.72916487165162,302.99999999999227,0.9046112917528358
1526,Macromoleculeahl,16915,2483.0,2084.0105689819707,746.2120077985506,279.80133428915747,1992.683419415832,994.493117509026,355.5343973741727,False,False,-91.3271495661388,248.2811097104753,75.73306308501526,275.1720453301532,0.7460799539972399
2636,Macromoleculeahl,16915,192.0,2478.3950422151806,569.6973219183826,580.8929426163982,2640.449460953792,494.66863359319245,510.3730071690975,True,False,162.05441873861128,-75.02868832519016,-70.51993544730067,191.99999999999775,0.363227904227009
16,Macromoleculeahl,16915,204.0,2188.924048543341,1194.212646130943,903.0234011105866,2186.571748384148,1198.392658929723,882.7747971659306,False,False,-2.352300159193419,4.180012798779899,-20.248603944656,20.80893521409597,0.0042665463074632
3400,Macromoleculeahl,16915,1986.0,1995.298345302175,1218.9872119585334,829.3713807613402,1879.8946741399648,1602.2845472945269,601.2183973862337,True,False,-115.40367116221024,383.2973353359935,-228.1529833751065,460.7479120043304,2.0917197597433264
1242,Macromoleculeahl,16915,361.0650023057577,1705.1211240492282,867.4859577661001,1034.766964841082,1734.9150040343975,1012.1021816619834,960.4940589741324,False,False,29.793879985169497,144.6162238958833,-74.27290586694971,165.2815538540091,0.2691692979051701
1019,Macromoleculeahl,16915,543.0019884442386,1708.2754882546233,825.1279093052711,460.6833948071897,1759.2533604105438,803.7893035278902,407.6041939700117,False,False,50.97787215592052,-21.338605777380963,-53.07920083717801,76.62559042239955,0.0578528042918645
1965,Macromoleculeahl,16915,3270.479025179917,2400.6046577437405,983.1757557655474,491.5974891294053,2640.04494449934,1052.6322833238276,501.3351160332902,True,False,239.44028675559912,69.45652755828019,9.737626903884916,249.5008647675934,0.6133676374005019
3413,Macromoleculeahl,16915,450.0,2366.227312289895,1130.5097779084024,808.6378874041893,2640.1885302837554,1484.0297622851056,858.325629168065,True,False,273.9612179938604,353.5199843767032,49.68774176387569,449.9999999999751,1.995270469996823
3947,Macromoleculeahl,16915,732.0,2053.329019081601,1024.972705482665,1149.050397578265,2211.755538635967,1003.8973228199887,1134.9139206083155,False,False,158.4265195543653,-21.075382662676475,-14.136476969949172,160.44617114038542,0.2536503481486831
1703,Macromoleculeahl,16915,766.0,2059.244008093672,1176.4503130287123,981.0705726895832,2099.452029814713,1602.5476384802723,1097.2508874832847,True,False,40.20802172104095,426.09732545156,116.18031479370154,443.4788397581737,1.93786068886842
3381,Macromoleculeahl,16915,2394.0,2092.5701855346533,731.6411933274826,281.1319037597661,2025.1388547099568,774.3540173404998,286.3624911243321,False,False,-67.43133082469649,42.71282401301721,5.23058736456602,79.99205433125843,0.0630478742352448
4001,Macromoleculeahl,16915,1988.0,2134.2346929321675,764.3029452891697,1228.2581909314158,2423.594436530772,565.4787847563894,1602.5680266948025,True,False,289.3597435986044,-198.8241605327803,374.3098357633867,513.1938826371845,2.5950139045839817
2508,Macromoleculeahl,16915,649.0,2198.185580444214,703.3186854705394,298.81445628651056,2253.98911423621,801.7995209399816,320.4233277498275,False,False,55.80353379199596,98.48083546944213,21.60887146331692,115.23650751542203,0.1308449370810121
4467,Macromoleculeahl,16915,287.0,2139.084321675567,714.303614711112,285.3136555247813,2177.0628515693497,689.2012220231068,1.947282875443019,True,False,37.97852989378271,-25.10239268800524,-283.3663726493383,286.99999999999903,0.8115972016947428
