Timestep,entities_sector_0,entities_sector_1,entities_sector_2,entities_sector_3,mov_0_to_0,mov_0_to_1,mov_0_to_2,mov_0_to_3,mov_1_to_0,mov_1_to_1,mov_1_to_2,mov_1_to_3,mov_2_to_0,mov_2_to_1,mov_2_to_2,mov_2_to_3,mov_3_to_0,mov_3_to_1,mov_3_to_2,mov_3_to_3
4860,35.0,18.0,27.0,26.0,35.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,26.0
7540,11.0,7.0,14.0,7.0,11.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,7.0
2260,153.0,109.0,124.0,137.0,152.0,0.0,0.0,1.0,0.0,108.0,0.0,2.0,0.0,0.0,124.0,0.0,1.0,1.0,0.0,134.0
2310,137.0,101.0,125.0,135.0,136.0,0.0,1.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,124.0,0.0,1.0,0.0,0.0,135.0
14270,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
16430,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13250,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
1630,254.0,195.0,166.0,217.0,251.0,1.0,1.0,1.0,1.0,193.0,0.0,0.0,0.0,1.0,165.0,0.0,2.0,0.0,0.0,216.0
10260,5.0,5.0,5.0,7.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0
6020,18.0,13.0,18.0,15.0,18.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,15.0
2660,114.0,79.0,93.0,103.0,113.0,0.0,0.0,2.0,0.0,78.0,0.0,0.0,1.0,0.0,93.0,0.0,0.0,1.0,0.0,101.0
1480,284.0,230.0,190.0,242.0,282.0,1.0,0.0,0.0,1.0,227.0,0.0,1.0,1.0,1.0,190.0,0.0,0.0,1.0,0.0,241.0
4970,33.0,18.0,24.0,25.0,33.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0
9640,6.0,4.0,7.0,8.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0
13890,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
6290,17.0,6.0,16.0,14.0,17.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,14.0
16640,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3060,90.0,59.0,71.0,81.0,90.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,1.0,71.0,0.0,0.0,0.0,0.0,81.0
1920,215.0,138.0,138.0,168.0,214.0,1.0,0.0,2.0,0.0,137.0,0.0,2.0,1.0,0.0,138.0,0.0,0.0,0.0,0.0,164.0
6190,17.0,8.0,16.0,16.0,17.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0
3090,91.0,58.0,71.0,79.0,90.0,0.0,1.0,0.0,0.0,58.0,0.0,1.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,78.0
9070,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0
630,629.0,556.0,440.0,542.0,623.0,1.0,1.0,1.0,1.0,553.0,2.0,4.0,3.0,2.0,437.0,0.0,2.0,0.0,0.0,537.0
16220,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17080,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12470,3.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
9300,8.0,5.0,7.0,7.0,8.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0
8170,9.0,9.0,10.0,7.0,9.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,7.0
5910,19.0,12.0,18.0,18.0,19.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0
15310,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9930,5.0,4.0,6.0,9.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0
4290,45.0,30.0,41.0,33.0,45.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,33.0
7240,14.0,9.0,12.0,10.0,14.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,10.0
