Timestep,Sector,Num CellSmutans,OccupiedSpace CellSmutans,Target CellSmutans,Num CellSmitis,OccupiedSpace CellSmitis,Target CellSmitis,Num Macromoleculeahl,OccupiedSpace Macromoleculeahl,Diffusion Rate Macromoleculeahl,Target Macromoleculeahl,EmptySpace Sector
0,0,1,0.0,1,0,0.0,0,2792,1.3929408703154943e-05,1.0,491,4.5878610705912966
0,1,0,0.0,0,0,0.0,0,966,4.819415761908193e-06,1.0,1136,4.587870180584238
0,2,0,0.0,0,0,0.0,0,999,4.9840541885572305e-06,1.0,665,4.587870015945811
0,3,0,0.0,0,0,0.0,0,40,1.995617292715608e-07,1.0,499,4.587874800438271
0,4,0,0.0,0,1,0.0,1,0,0.0,1.0,0,4.5878749999999995
0,5,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
0,6,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
0,7,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
500,0,1,0.0,1,0,0.0,0,491,2.4496202268084088e-06,1.0,213,4.587872550379773
500,1,0,0.0,0,0,0.0,0,1136,5.667553111312326e-06,1.0,287,4.587869332446888
500,2,0,0.0,0,0,0.0,0,665,3.317713749139698e-06,1.0,223,4.58787168228625
500,3,0,0.0,0,0,0.0,0,499,2.4895325726627207e-06,1.0,257,4.5878725104674265
500,4,0,0.0,0,1,0.0,1,0,0.0,1.0,0,4.5878749999999995
500,5,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
500,6,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
500,7,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
1000,0,1,0.0,1,0,0.0,0,213,1.0626662083710612e-06,1.0,112,4.587873937333791
1000,1,0,0.0,0,0,0.0,0,287,1.4318554075234487e-06,1.0,165,4.587873568144592
1000,2,0,0.0,0,0,0.0,0,223,1.1125566406889514e-06,1.0,126,4.587873887443359
1000,3,0,0.0,0,0,0.0,0,257,1.282184110569778e-06,1.0,132,4.587873717815889
1000,4,0,0.0,0,1,0.0,1,0,0.0,1.0,0,4.5878749999999995
1000,5,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
1000,6,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
1000,7,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
1500,0,1,0.0,1,0,0.0,0,112,5.587728419603702e-07,1.0,75,4.587874441227157
1500,1,0,0.0,0,0,0.0,0,165,8.231921332451883e-07,1.0,120,4.587874176807866
1500,2,0,0.0,0,0,0.0,0,126,6.286194472054165e-07,1.0,79,4.587874371380552
1500,3,0,0.0,0,0,0.0,0,132,6.585537065961506e-07,1.0,91,4.587874341446293
1500,4,0,0.0,0,1,0.0,1,0,0.0,1.0,0,4.5878749999999995
1500,5,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
1500,6,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
1500,7,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
2000,0,1,0.0,1,0,0.0,0,75,3.7417824238417646e-07,1.0,40,4.587874625821757
2000,1,0,0.0,0,0,0.0,0,120,5.986851878146824e-07,1.0,80,4.587874401314812
2000,2,0,0.0,0,0,0.0,0,79,3.9413441531133254e-07,1.0,42,4.587874605865585
2000,3,0,0.0,0,0,0.0,0,91,4.540029340928008e-07,1.0,52,4.587874545997066
2000,4,0,0.0,0,1,0.0,1,0,0.0,1.0,0,4.5878749999999995
2000,5,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
2000,6,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
2000,7,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
2500,0,1,0.0,1,0,0.0,0,40,1.995617292715608e-07,1.0,28,4.587874800438271
2500,1,0,0.0,0,0,0.0,0,80,3.991234585431216e-07,1.0,50,4.587874600876541
2500,2,0,0.0,0,0,0.0,0,42,2.0953981573513884e-07,1.0,32,4.587874790460184
2500,3,0,0.0,0,0,0.0,0,52,2.59430248053029e-07,1.0,40,4.5878747405697515
2500,4,0,0.0,0,1,0.0,1,0,0.0,1.0,0,4.5878749999999995
2500,5,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
2500,6,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
2500,7,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
3000,0,1,0.0,1,0,0.0,0,28,1.3969321049009255e-07,1.0,23,4.587874860306789
3000,1,0,0.0,0,0,0.0,0,50,2.4945216158945097e-07,1.0,38,4.587874750547838
3000,2,0,0.0,0,0,0.0,0,32,1.5964938341724863e-07,1.0,20,4.587874840350616
3000,3,0,0.0,0,0,0.0,0,40,1.995617292715608e-07,1.0,32,4.587874800438271
3000,4,0,0.0,0,1,0.0,1,0,0.0,1.0,1,4.5878749999999995
3000,5,0,0.0,0,0,0.0,0,0,0.0,1.0,3,4.5878749999999995
3000,6,0,0.0,0,0,0.0,0,0,0.0,1.0,4,4.5878749999999995
3000,7,0,0.0,0,0,0.0,0,0,0.0,1.0,1,4.5878749999999995
3500,0,1,0.0,1,0,0.0,0,23,1.1474799433114746e-07,1.0,22,4.587874885252005
3500,1,0,0.0,0,0,0.0,0,38,1.8958364280798275e-07,1.0,36,4.5878748104163565
3500,2,0,0.0,0,0,0.0,0,20,9.97808646357804e-08,1.0,19,4.587874900219135
3500,3,0,0.0,0,0,0.0,0,32,1.5964938341724863e-07,1.0,25,4.587874840350616
3500,4,0,0.0,0,1,0.0,1,1,4.98904323178902e-09,1.0,1,4.5878749950109565
3500,5,0,0.0,0,0,0.0,0,3,1.4967129695367058e-08,1.0,0,4.58787498503287
3500,6,0,0.0,0,0,0.0,0,4,1.995617292715608e-08,1.0,2,4.587874980043827
3500,7,0,0.0,0,0,0.0,0,1,4.98904323178902e-09,1.0,0,4.5878749950109565
4000,0,1,0.0,1,0,0.0,0,22,1.0975895109935844e-07,1.0,20,4.587874890241048
4000,1,0,0.0,0,0,0.0,0,36,1.796055563444047e-07,1.0,32,4.587874820394443
4000,2,0,0.0,0,0,0.0,0,19,9.479182140399138e-08,1.0,13,4.587874905208178
4000,3,0,0.0,0,0,0.0,0,25,1.2472608079472549e-07,1.0,20,4.5878748752739185
4000,4,0,0.0,0,1,0.0,1,1,4.98904323178902e-09,1.0,1,4.5878749950109565
4000,5,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
4000,6,0,0.0,0,0,0.0,0,2,9.97808646357804e-09,1.0,1,4.587874990021913
4000,7,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
4500,0,1,0.0,1,0,0.0,0,20,9.97808646357804e-08,1.0,18,4.587874900219135
4500,1,0,0.0,0,0,0.0,0,32,1.5964938341724863e-07,1.0,28,4.587874840350616
4500,2,0,0.0,0,0,0.0,0,13,6.485756201325725e-08,1.0,10,4.5878749351424375
4500,3,0,0.0,0,0,0.0,0,20,9.97808646357804e-08,1.0,22,4.587874900219135
4500,4,0,0.0,0,1,0.0,1,1,4.98904323178902e-09,1.0,0,4.5878749950109565
4500,5,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
4500,6,0,0.0,0,0,0.0,0,1,4.98904323178902e-09,1.0,1,4.5878749950109565
4500,7,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
5000,0,1,0.0,1,0,0.0,0,18,8.980277817220236e-08,1.0,14,4.587874910197221
5000,1,0,0.0,0,0,0.0,0,28,1.3969321049009255e-07,1.0,23,4.587874860306789
5000,2,0,0.0,0,0,0.0,0,10,4.98904323178902e-08,1.0,13,4.587874950109567
5000,3,0,0.0,0,0,0.0,0,22,1.0975895109935844e-07,1.0,20,4.587874890241048
5000,4,0,0.0,0,1,0.0,1,0,0.0,1.0,0,4.5878749999999995
5000,5,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.5878749999999995
5000,6,0,0.0,0,0,0.0,0,1,4.98904323178902e-09,1.0,0,4.5878749950109565
